 1.5915e+07(-0.0000e+00) 2.1219e-04(0.0000e+00) 2.1219e-02(-0.0000e+00)
 1.5302e-10(-4.9350e-02) 2.4402e-04(4.7820e-03) 2.2246e-02(-1.0028e-04)
 1.5161e-10(-4.9122e-02) 2.4435e-04(4.8064e-03) 2.2256e-02(-1.0084e-04)
 1.5022e-10(-4.8896e-02) 2.4467e-04(4.8308e-03) 2.2266e-02(-1.0140e-04)
 1.4884e-10(-4.8671e-02) 2.4499e-04(4.8553e-03) 2.2277e-02(-1.0196e-04)
 1.4749e-10(-4.8449e-02) 2.4532e-04(4.8798e-03) 2.2287e-02(-1.0252e-04)
 1.4615e-10(-4.8229e-02) 2.4565e-04(4.9043e-03) 2.2297e-02(-1.0309e-04)
 1.4483e-10(-4.8011e-02) 2.4598e-04(4.9289e-03) 2.2307e-02(-1.0365e-04)
 1.4353e-10(-4.7794e-02) 2.4632e-04(4.9535e-03) 2.2318e-02(-1.0422e-04)
 1.4224e-10(-4.7580e-02) 2.4665e-04(4.9782e-03) 2.2328e-02(-1.0478e-04)
 1.4097e-10(-4.7368e-02) 2.4699e-04(5.0028e-03) 2.2339e-02(-1.0535e-04)
 1.3972e-10(-4.7157e-02) 2.4733e-04(5.0276e-03) 2.2349e-02(-1.0592e-04)
 1.3849e-10(-4.6948e-02) 2.4767e-04(5.0523e-03) 2.2360e-02(-1.0650e-04)
 1.3727e-10(-4.6742e-02) 2.4801e-04(5.0771e-03) 2.2371e-02(-1.0707e-04)
 1.3607e-10(-4.6537e-02) 2.4836e-04(5.1019e-03) 2.2381e-02(-1.0764e-04)
 1.3489e-10(-4.6333e-02) 2.4870e-04(5.1267e-03) 2.2392e-02(-1.0822e-04)
 1.3372e-10(-4.6132e-02) 2.4905e-04(5.1516e-03) 2.2403e-02(-1.0880e-04)
 1.3256e-10(-4.5932e-02) 2.4941e-04(5.1765e-03) 2.2414e-02(-1.0938e-04)
 1.3142e-10(-4.5734e-02) 2.4976e-04(5.2015e-03) 2.2425e-02(-1.0996e-04)
 1.3029e-10(-4.5538e-02) 2.5012e-04(5.2265e-03) 2.2436e-02(-1.1054e-04)
 1.2918e-10(-4.5343e-02) 2.5047e-04(5.2515e-03) 2.2447e-02(-1.1113e-04)
 1.2809e-10(-4.5150e-02) 2.5083e-04(5.2765e-03) 2.2458e-02(-1.1171e-04)
 1.2700e-10(-4.4959e-02) 2.5120e-04(5.3016e-03) 2.2469e-02(-1.1230e-04)
 1.2593e-10(-4.4769e-02) 2.5156e-04(5.3268e-03) 2.2481e-02(-1.1289e-04)
 1.2488e-10(-4.4581e-02) 2.5193e-04(5.3519e-03) 2.2492e-02(-1.1348e-04)
 1.2383e-10(-4.4395e-02) 2.5230e-04(5.3771e-03) 2.2503e-02(-1.1407e-04)
 1.2280e-10(-4.4210e-02) 2.5267e-04(5.4024e-03) 2.2515e-02(-1.1466e-04)
 1.2179e-10(-4.4026e-02) 2.5304e-04(5.4277e-03) 2.2526e-02(-1.1526e-04)
 1.2078e-10(-4.3844e-02) 2.5341e-04(5.4530e-03) 2.2538e-02(-1.1586e-04)
 1.1979e-10(-4.3664e-02) 2.5379e-04(5.4783e-03) 2.2549e-02(-1.1645e-04)
 1.1881e-10(-4.3485e-02) 2.5417e-04(5.5037e-03) 2.2561e-02(-1.1706e-04)
 1.1784e-10(-4.3307e-02) 2.5455e-04(5.5291e-03) 2.2573e-02(-1.1766e-04)
 1.1689e-10(-4.3131e-02) 2.5494e-04(5.5546e-03) 2.2585e-02(-1.1826e-04)
 1.1594e-10(-4.2957e-02) 2.5532e-04(5.5801e-03) 2.2596e-02(-1.1887e-04)
 1.1501e-10(-4.2784e-02) 2.5571e-04(5.6057e-03) 2.2608e-02(-1.1947e-04)
 1.1409e-10(-4.2612e-02) 2.5610e-04(5.6312e-03) 2.2620e-02(-1.2008e-04)
 1.1318e-10(-4.2441e-02) 2.5650e-04(5.6569e-03) 2.2632e-02(-1.2069e-04)
 1.1228e-10(-4.2272e-02) 2.5689e-04(5.6825e-03) 2.2644e-02(-1.2131e-04)
 1.1139e-10(-4.2104e-02) 2.5729e-04(5.7082e-03) 2.2657e-02(-1.2192e-04)
 1.1051e-10(-4.1938e-02) 2.5769e-04(5.7340e-03) 2.2669e-02(-1.2254e-04)
 1.0964e-10(-4.1773e-02) 2.5809e-04(5.7598e-03) 2.2681e-02(-1.2315e-04)
 1.0878e-10(-4.1609e-02) 2.5850e-04(5.7856e-03) 2.2693e-02(-1.2377e-04)
 1.0793e-10(-4.1447e-02) 2.5890e-04(5.8114e-03) 2.2706e-02(-1.2439e-04)
