%# f in GHz     S1(1)1(1)              S1(1)2(1)              S2(1)1(1)              S2(1)2(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  47.7088394165039, port 2 (mode 1):  47.7088394165039 
1.710000       -0.507821  0.812238     -0.243056  -0.150885     -0.243057  -0.150885     -0.507821  0.812238
1.725000       -0.495698  0.820954     -0.242122  -0.145111     -0.242123  -0.145111     -0.495698  0.820954
1.740000       -0.483450  0.829421     -0.241095  -0.139420     -0.241095  -0.139420     -0.483450  0.829421
1.755000       -0.471085  0.837640     -0.239974  -0.133811     -0.239975  -0.133811     -0.471085  0.837640
1.770000       -0.458612  0.845612     -0.238760  -0.128285     -0.238761  -0.128285     -0.458612  0.845612
1.785000       -0.446039  0.853339     -0.237453  -0.122844     -0.237453  -0.122843     -0.446039  0.853339
1.800000       -0.433377  0.860824     -0.236052  -0.117489     -0.236052  -0.117488     -0.433377  0.860824
1.815000       -0.420629  0.868071     -0.234558  -0.112223     -0.234558  -0.112222     -0.420629  0.868071
1.830000       -0.407807  0.875083     -0.232972  -0.107049     -0.232972  -0.107048     -0.407807  0.875083
1.845000       -0.394910  0.881866     -0.231295  -0.101969     -0.231295  -0.101968     -0.394910  0.881866
1.860000       -0.381947  0.888424     -0.229531  -0.096987     -0.229531  -0.096987     -0.381947  0.888424
1.875000       -0.368920  0.894762     -0.227682  -0.092107     -0.227682  -0.092106     -0.368920  0.894762
1.890000       -0.355831  0.900885     -0.225752  -0.087331     -0.225751  -0.087330     -0.355831  0.900885
1.905000       -0.342682  0.906797     -0.223743  -0.082662     -0.223743  -0.082661     -0.342683  0.906797
1.920000       -0.329473  0.912502     -0.221663  -0.078102     -0.221662  -0.078102     -0.329475  0.912502
1.935000       -0.316205  0.918002     -0.219514  -0.073653     -0.219514  -0.073653     -0.316205  0.918003
1.950000       -0.302875  0.923301     -0.217304  -0.069318     -0.217304  -0.069317     -0.302875  0.923302
1.965000       -0.289484  0.928399     -0.215037  -0.065094     -0.215037  -0.065094     -0.289484  0.928399
1.980000       -0.276028  0.933297     -0.212719  -0.060984     -0.212719  -0.060983     -0.276030  0.933297
1.995000       -0.262510  0.937993     -0.210356  -0.056985     -0.210356  -0.056985     -0.262510  0.937994
2.010000       -0.248926  0.942486     -0.207954  -0.053096     -0.207954  -0.053096     -0.248926  0.942487
2.025000       -0.235275  0.946775     -0.205517  -0.049316     -0.205517  -0.049316     -0.235275  0.946775
2.040000       -0.221559  0.950854     -0.203049  -0.045640     -0.203049  -0.045640     -0.221560  0.950855
2.055000       -0.207779  0.954721     -0.200556  -0.042066     -0.200556  -0.042066     -0.207779  0.954722
2.070000       -0.193934  0.958371     -0.198041  -0.038590     -0.198041  -0.038590     -0.193935  0.958372
2.085000       -0.180031  0.961800     -0.195505  -0.035208     -0.195505  -0.035208     -0.180031  0.961800
